transaction_id,customer_id,timestamp,amount,merchant_name,merchant_category,location,payment_method,is_fraud,hour
TXN_00005478,CUST_000784,04:34.4,103.66,Hernandez-Greene - ATM,ATM,"Hutchinsonview, Alabama",Credit Card,0,11
TXN_00006785,CUST_000353,05:35.0,106.24,Russell-Gomez - Pharmacy,Pharmacy,"Jonathanstad, Iowa",Mobile App,0,11
TXN_00005821,CUST_000882,07:34.6,84.14,"Ruiz, Wood and Leach - Department Store",Department Store,"Patriciaburgh, Idaho",Credit Card,0,11
TXN_00000493,CUST_000124,17:31.8,124.14,"Sampson, Carter and Walls - Restaurant",Restaurant,"South Andrea, California",Debit Card,0,11
TXN_00008244,CUST_000237,23:35.9,100.22,Campbell-Wolfe - Department Store,Department Store,"New Williamside, Missouri",Debit Card,0,11
TXN_00009187,CUST_000286,23:36.4,122.18,Bell PLC - Hotel,Hotel,"Anthonyfort, Wisconsin",Online Banking,0,11
TXN_00000396,CUST_000139,30:31.7,176.07,"Murphy, Drake and Snyder - Grocery",Grocery,"North Jamesside, South Carolina",Debit Card,0,11
TXN_00001141,CUST_000551,30:32.1,10.29,Fox Group - Airlines,Airlines,"East Brandon, Kentucky",Mobile App,0,11
TXN_00000402,CUST_000224,36:31.7,178.36,"Farrell, Garcia and Park - Online Shopping",Online Shopping,"Portertown, South Carolina",Online Banking,0,11
TXN_00000721,CUST_000762,36:31.9,26.91,"Malone, Contreras and Gordon - Pharmacy",Pharmacy,"Rosarioburgh, Virginia",Online Banking,0,11
TXN_00007559,CUST_000693,37:35.5,61.53,Owen Group - Restaurant,Restaurant,"Lake Jameschester, Mississippi",Debit Card,0,11
TXN_00004003,CUST_000923,39:33.6,32.78,"Nelson, Compton and Sharp - Pharmacy",Pharmacy,"Port Shannonburgh, South Carolina",Debit Card,0,11
TXN_00000832,CUST_000941,43:31.9,178.99,Daniels-Sheppard - Pharmacy,Pharmacy,"Port Donaldmouth, South Dakota",Mobile App,0,11
TXN_00001159,CUST_000003,47:32.1,78.14,"Hickman, Cook and Harris - Grocery",Grocery,"West Madison, Virginia",Mobile App,0,11
TXN_00004631,CUST_000616,47:33.9,119.68,Fernandez PLC - Restaurant,Restaurant,"Lake Glendamouth, Vermont",Debit Card,0,11
TXN_00008030,CUST_000677,50:35.7,198,"Jackson, Barry and Davis - ATM",ATM,"Andrewburgh, Rhode Island",Online Banking,0,11
TXN_00006241,CUST_000382,53:34.7,67.71,"Williams, Hogan and Scott - Gas Station",Gas Station,"Lake Rachel, Oregon",Online Banking,0,11
TXN_00007834,CUST_000626,58:35.6,196.28,Graves-Collins - ATM,ATM,"Catherineport, Kentucky",Debit Card,0,11
TXN_00007629,CUST_000676,01:35.5,103.79,"Brown, Calhoun and Riley - Restaurant",Restaurant,"Lake Cassandrabury, Missouri",Mobile App,0,12
TXN_00001834,CUST_000057,06:32.5,118.55,"Kelley, Martin and George - Restaurant",Restaurant,"Kathleenville, Vermont",Credit Card,0,12
TXN_00000415,CUST_000360,08:31.7,102.02,Perez Inc - Restaurant,Restaurant,"South Sarah, South Carolina",Debit Card,0,12
TXN_00008196,CUST_000672,11:35.8,30.83,Hardy PLC - Grocery,Grocery,"West Marcus, Alabama",Mobile App,0,12
TXN_00007725,CUST_000527,13:35.6,21.7,Fuller-Harris - ATM,ATM,"Gonzalezmouth, Washington",Mobile App,0,12
TXN_00007908,CUST_000824,17:35.7,108.33,"Francis, Allen and Bryan - Pharmacy",Pharmacy,"Anitachester, Nebraska",Online Banking,0,12
TXN_00001490,CUST_000525,29:32.3,118.99,Yu LLC - Online Shopping,Online Shopping,"Meghanton, Nevada",Online Banking,0,12
TXN_00009111,CUST_000399,32:36.4,93.59,Hahn PLC - Restaurant,Restaurant,"North Taylor, Arizona",Mobile App,0,12
TXN_00000261,CUST_000298,33:31.7,260.94,Maldonado Ltd - Department Store,Department Store,"Paulburgh, Wyoming",Debit Card,0,12
TXN_00000118,CUST_000679,36:31.6,2009.6,Johnson PLC - Airlines,Airlines,"West Daniel, South Carolina",Credit Card,1,12
TXN_00006531,CUST_000292,37:34.9,120.54,Johnson-Hansen - Restaurant,Restaurant,"Kathrynville, Alaska",Mobile App,0,12
TXN_00007590,CUST_000192,37:35.5,76.21,Morse-Livingston - Pharmacy,Pharmacy,"East Alan, South Carolina",Credit Card,0,12
TXN_00008048,CUST_000165,41:35.7,147,"Hicks, Daugherty and Houston - ATM",ATM,"South Scottfurt, Kansas",Credit Card,0,12
TXN_00008800,CUST_000898,43:36.2,145.44,"Hernandez, Dixon and Nichols - Airlines",Airlines,"Shahside, Arkansas",Online Banking,0,12
TXN_00003651,CUST_000253,50:33.4,46.9,Brown-Huff - Gas Station,Gas Station,"Orozcotown, Mississippi",Mobile App,0,12
TXN_00006969,CUST_000387,50:35.0,199.81,"Gamble, Flowers and Aguilar - Grocery",Grocery,"Bennettmouth, Montana",Online Banking,0,12
TXN_00002212,CUST_000951,51:32.7,428.49,Mcdonald and Sons - Online Shopping,Online Shopping,"East Jessica, New Hampshire",Online Banking,0,12
TXN_00008512,CUST_000899,56:36.0,129.84,"Fuller, Stewart and Gray - ATM",ATM,"Joshuaburgh, California",Online Banking,0,12
TXN_00001614,CUST_000167,59:32.4,32.21,Thompson PLC - Online Shopping,Online Shopping,"Rachaelton, Idaho",Online Banking,0,12
TXN_00005614,CUST_000888,17:34.4,178.13,Harrison LLC - Pharmacy,Pharmacy,"North Adam, Missouri",Credit Card,0,13
TXN_00007098,CUST_000372,20:35.1,73.42,"Carter, Baker and Leonard - Pharmacy",Pharmacy,"Stephenmouth, Arizona",Debit Card,0,13
TXN_00006630,CUST_000404,23:34.9,218.01,Cox PLC - Department Store,Department Store,"Scottchester, New York",Debit Card,0,13
TXN_00000828,CUST_000316,24:31.9,59.82,Flores-Goodman - Gas Station,Gas Station,"Mccannborough, Idaho",Mobile App,0,13
TXN_00003788,CUST_000605,33:33.5,36.92,Price Inc - Department Store,Department Store,"Jamesborough, North Carolina",Mobile App,0,13
TXN_00003066,CUST_000277,36:33.1,111.72,Reed LLC - Pharmacy,Pharmacy,"Port Thomas, Colorado",Mobile App,0,13
TXN_00004701,CUST_000431,37:33.9,207.47,Parks-Wagner - Pharmacy,Pharmacy,"Jamesbury, Idaho",Credit Card,0,13
TXN_00003805,CUST_000678,47:33.5,192.69,Salazar Ltd - Airlines,Airlines,"Wilsonchester, South Dakota",Mobile App,0,13
TXN_00007973,CUST_000396,07:35.7,141.25,"Rodriguez, Sanders and Stone - Restaurant",Restaurant,"Port Johnathanburgh, Maryland",Online Banking,0,14
TXN_00004906,CUST_000932,09:34.1,140,"Vasquez, Lopez and Farley - Airlines",Airlines,"Wilsonport, New Mexico",Online Banking,0,14
TXN_00007683,CUST_000704,12:35.5,163.55,Rose PLC - Airlines,Airlines,"Lake Ashleymouth, Delaware",Credit Card,0,14
TXN_00005730,CUST_000712,24:34.5,272.47,Todd PLC - Online Shopping,Online Shopping,"North Stephenbury, Arkansas",Online Banking,0,14
TXN_00009890,CUST_000932,26:36.7,249.01,"Munoz, Moore and Underwood - ATM",ATM,"North Thomas, Tennessee",Online Banking,0,14
TXN_00006185,CUST_000871,32:34.7,152.14,Cohen Ltd - Grocery,Grocery,"Rossville, Michigan",Credit Card,0,14
TXN_00004614,CUST_000564,41:33.9,299.7,Riley-Grant - ATM,ATM,"Kennethfort, Oklahoma",Credit Card,0,14
TXN_00006176,CUST_000586,49:34.7,289.6,Mayer-Dudley - Department Store,Department Store,"West Jeffrey, Louisiana",Mobile App,0,14
TXN_00004503,CUST_000217,56:33.8,223,"Dominguez, Hubbard and Kline - Department Store",Department Store,"Markland, West Virginia",Online Banking,0,14
TXN_00004228,CUST_000504,02:33.7,134.14,"Harper, Johnson and Young - Grocery",Grocery,"West Nancy, Georgia",Online Banking,0,15
TXN_00002360,CUST_000777,04:32.8,55.03,"Smith, Brown and Morales - Gas Station",Gas Station,"North Zachary, Georgia",Mobile App,0,15
